Code,Political Party Description
IVFABP,I VOTE FOR A BETTER PERSON NOT
JBN,JACOBIN
J,JUBILEEIAN
JD,JEDI
JO,JACKASS-ONE
JON,JOHNSON'S
JP,JUSTICE PARTY
JS,JESUS
KEG,KEG
KN,KNOW NOTHING
KNP,KUNNERMAN
KOG,KINGDOM OF GOD
KQ,KINGS & QUEENS
KWAD,KWAD
L,LABOR
LA,LABORER
LAN,LANNISTER
LAT,LATINA
LD,Liberal Democrat
LEG,LEGALIST
LF,LAISSE-FAIRE CAPITALIST
LG,LIBERAL GREENE
LI,LIBERAL
LIB,Liberalist
LIBIN,LIBERAL/INDEPENDENT
LIUP,Liberty Union Party
LN,LIBERTARIAN
LNS,LIBERTARIAN SOCIALIST
LNSG,LIBERTARIAN NATIONAL SOCIALIST GREEN
LR,LIBERTARIAN REPUBLICAN
LREP,LIBERAL REPUBLICAN
LT,LIBERTARIAN TRANSHUMANIST
LUK,LUKAWANDA
M,MODERATE
MA,MAITER
MAJA,MARIJUANA
MAN,MAN
MARR,Marriage
MAY,MAYBE
MAS,MIGHT AS WELL
MC,McCain
MCHAR,MORAL CHARACTER
MDWP,MODERATE WARD PARTY
MI,MANAYUNK INDEPENDENT
MID,MIDDLE
MIG,MARK IS GOD
MIN,MODERATE \ INDEPENDENT
ML,MODERATE-LIBERAL
MM,MICKEY MOUSE
MNT,MONARCHIST
MODR,MODERN REPUBLICAN
MP,Moderate Republican
MRP,Marijuana Reform Party
MRT,MR TRUMP
MSE,MEASE
MU,MUTUAL
MUS,MUSLIM
MW,MODERN WHIG
MWP,MODERN WHIG PARTY
MX,MARXIST PARTY
MYMED,MEN YOGA MEDITATION
MYP,My Party
MZ,MADI Z
N,N/A
NA,NEW ALLIANCE
NAI,NEW AFRIKAN INDEPENDENCE
NAT,NAT'L TAXPAYER
NC,NON-COMMITTAL
NCP,NON-CONFORMIST PARTY
ND,NOT DEMO-REPO
NE,NEUTRAL
NEI,Not Either
NEO,NEO-AGRARIAN
NF,NO AFFILIATION
NI,NOT INTERESTED
NINC,NON-INCRIMINATING
NL,NATURAL LAW
NO,NO PARTY
NODE,NON DENOMINATIONAL
NON,NONE
NOO,NO
NOP,NON-PARTISAN
NOPA,NO PARTY AFFILIATION
NOT,NOTALITARIAN
NOV,NOVELIST
NOW,NO WAY
NP,NEW PATRIOT
NPA,Non Party
NPF,No Preference
NPP,NEW PATRIOT PARTY
NPRO,NEW PROGRESSIVE
NPS,NPS
NRA,NRA
NS,NATIONAL SOCIALIST
NSAL,NSALP
NSSLP,THE NATIONAL SOCIALIST SONS OF LIBERTY PARTY
NST,NATIONALIST
NT,NATIONAL TAXPAYERS
NTRP,NOT TRUMP
NTS,NOT SURE
NU,NO LONGER IN USE
NVTR,#NeverTrump
NW,NEOWHIG
NZ,NAZI
NYP,NOT YOU PROBLEM
O,OPRAH
OBA,OBAMA
OLAP,Ol' American Party
OP,OPEN
OPV,OTHER POLITICAL VIEWS
OR,ORANGE
OTH,OTHER
OWN,OWN
OWW,Old wagon Wheel
P,PUMPKIN
P2,PP
PA,PA FOR PEROT
PA2,PA
PAL,Pacifist/Libertarian
PAP,PEACE & PROSPERITY
PAR,PARTY FOR SOCIALISM AND LIBERIA
PART,PARTY
PAS,PENNSYLVANIA SOVEREIGNS
PAST,PASTAFARIEN
PE,PEDESTRIAN
PENN,PENNSYLVANIA
PEPA,PEACE PARTY
PER,PERSONAL
PF,PEACE AND FREEDOM
